id, Harga_2019 
1," 62,920,000.00 "
2," 44,473,998.00 "
3," 1,438,054,200.00 "
4," 832,771,500.00 "
5," 1,415,035,000.00 "
6," 2,033,664,600.00 "
7," 525,825,000.00 "
8," 741,150,000.00 "
9," 752,625,000.00 "
10," 2,000,700,000.00 "
11," 4,038,500.00 "
12," 2,277,000.00 "
13," 7,450,500.00 "
14," 1,590,909.00 "
15," 9,750,000.00 "
16," 2,876,400.00 "
17," 3,225,000.00 "
18," 1,442,500.00 "
19," 4,331,000.00 "
20," 21,000,000.00 "
21," 83,291,000.00 "
22," 4,347,000.00 "
23," 10,091,200.00 "
24," 3,053,200.00 "
25," 855,000.00 "
26," 35,000,000.00 "
27," 471,681,120.00 "
28," 45,540,000.00 "
29," 11,385,000.00 "
30," 12,500,000.00 "
31," 8,500,000.00 "
32," 21,217,500.00 "
33," 17,500,000.00 "
34," 29,900,000.00 "
35," 178,000,000.00 "
36," 56,000,000.00 "
37," 75,000,000.00 "
38," 100,000,000.00 "
39," 75,000,000.00 "
40," 1,750,000.00 "
41," 10,000,000.00 "
42," 1,037,500,000.00 "
43," 1,637,500,000.00 "
44," 68,127,900.00 "
45," 189,280,800.00 "
46," 28,200,000.00 "
47," 68,827,500.00 "
48," 8,952,700.00 "
49," 1,610,000,000.00 "
50," 1,307,760,000.00 "
51," 610,049,660.00 "
52," 491,538,300.00 "
53," 324,830,000.00 "
54," 465,061,245.00 "
55," 422,537,555.00 "
56," 242,318,450.00 "
57," 1,750,000,000.00 "
58," 1,550,000,000.00 "
59," 269,090,000.00 "
60," 290,909,000.00 "
61," 7,997,500.00 "
62," 1,881,040.00 "
63," 5,190,000.00 "
64," 28,600,000.00 "
65," 14,050,100.00 "
66," 15,292,100.00 "
67," 278,121,000.00 "
68," 1,711,974,973.50 "
69," 1,323,512,190.00 "
70," 722,438,968.50 "
71," 2,045,450,000.00 "
72," 1,549,956,600.00 "
73," 722,500,000.00 "
74," 440,453,200.00 "
75," 23,641,300.00 "
76," 24,750,000.00 "
77," 43,500,000.00 "
78," 147,000,000.00 "
79," 34,000,000.00 "
80," 113,850,000.00 "
81," 23,745,400.00 "
82," 35,988,900.00 "
83," 1,552,500.00 "
84," 6,637,000.00 "
85," 3,881,200.00 "
86," 3,726,000.00 "
87," 3,167,100.00 "
88," 4,864,500.00 "
89," 4,864,500.00 "
90," 3,158,800.00 "
91," 3,158,800.00 "
92," 744,200.00 "
