1,0300,RSUD Bhakti Dharma Husada,1.1.1.02.06.0004,Pelayanan Keperawatan Rumah Sakit
2,0300,RSUD Bhakti Dharma Husada,1.1.1.02.06.0005,Pelayanan Medik Rumah Sakit
3,0300,RSUD Bhakti Dharma Husada,1.1.1.02.06.0006,Pengembangan Manajemen Rumah Sakit dan Peningkatan Kinerja SDM Kesehatan
4,0300,RSUD Bhakti Dharma Husada,1.1.1.02.06.0007,Promosi Kesehatan Rumah Sakit
5,0300,RSUD Bhakti Dharma Husada,1.1.1.02.06.0019,Akreditasi Rumah Sakit (DAK Kesehatan)
6,0300,RSUD Bhakti Dharma Husada,1.1.1.02.07.0003,Pengadaan dan Pemeliharaan Alat Kesehatan/Kedokteran
7,0300,RSUD Bhakti Dharma Husada,1.1.1.02.07.0005,Penyediaan/peningkatan/pemeliharaan sarana/prasarana fasilitas kesehatan yang bekerjasama dengan Badan Penyelenggara Jaminan Sosial
8,0300,RSUD Bhakti Dharma Husada,1.1.1.02.08.0001,Penyediaan Obat dan Perbekalan Kesehatan
9,0300,RSUD Bhakti Dharma Husada,2.1.2.01.02.0117,"Penyusunan Dokumen Perencanaan, Penganggaran, dan Evaluasi Perangkat Daerah"
10,0300,RSUD Bhakti Dharma Husada,2.2.2.02.01.0069,Penyediaan Barang dan Jasa Perkantoran Perangkat Daerah
11,0300,RSUD Bhakti Dharma Husada,2.2.2.02.02.0078,Pemeliharaan dan Pengadaan Sarana Perkantoran
12,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0001,Evaluasi Penyelenggaraan Pemerintahan Daerah
13,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0002,Evaluasi Perkembangan Kelurahan
14,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0003,Pembakuan Nama Rupabumi di Kota Surabaya
15,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0004,Pembinaan Administrasi Umum Pemerintahan
16,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0005,Pembinaan Administrasi Lembaga Kemasyarakatan
17,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.1.2.03.03.0006,"Penataan, Pembinaan dan Penegasan Wilayah Kecamatan"
18,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.2.2.02.01.0015,Penyediaan Barang dan Jasa Perkantoran Perangkat Daerah
19,0301,Bagian Administrasi Pemerintahan Dan Otonomi Daerah,2.2.2.02.02.0015,Pemeliharaan dan Pengadaan Sarana Perkantoran
20,0302,Bagian Hukum,2.1.2.03.02.0001,Evaluasi Produk Hukum Daerah
21,0302,Bagian Hukum,2.1.2.03.02.0002,Penanganan Permasalahan Bidang Hukum
22,0302,Bagian Hukum,2.1.2.03.02.0003,Penyusunan Rancangan Produk Hukum Daerah
23,0302,Bagian Hukum,2.1.2.03.02.0004,Publikasi Produk Hukum
24,0302,Bagian Hukum,2.2.2.02.01.0011,Penyediaan Barang dan Jasa Perkantoran Perangkat Daerah
25,0302,Bagian Hukum,2.2.2.02.02.0011,Pemeliharaan dan Pengadaan Sarana Perkantoran
26,0303,Bagian Organisasi,2.1.2.03.01.0001,Pelaksanaan Analisis Jabatan dan  Analisis Beban Kerja serta Standar Kompetensi
27,0303,Bagian Organisasi,2.1.2.03.01.0002,Pelaksanaan Analisis Kelembagaan
28,0303,Bagian Organisasi,2.1.2.03.01.0003,Pembinaan Ketatalaksanaan Perangkat Daerah
29,0303,Bagian Organisasi,2.1.2.03.01.0004,Peningkatan Implementasi Standar Pelayanan
30,0303,Bagian Organisasi,2.1.2.03.01.0006,Pendampingan Penyusunan Laporan Kinerja dan Monitoring Implementasi Reformasi Birokrasi
31,0303,Bagian Organisasi,2.1.2.03.01.0008,Survey Kepuasan Masyarakat
32,0303,Bagian Organisasi,2.2.2.02.01.0014,Penyediaan Barang dan Jasa Perkantoran Perangkat Daerah
33,0303,Bagian Organisasi,2.2.2.02.02.0014,Pemeliharaan dan Pengadaan Sarana Perkantoran
34,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0001,Fasilitasi Delegasi Internasional di Dalam Negeri
35,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0002,Fasilitasi Kerjasama Dalam Negeri non Perdagangan
36,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0003,Fasilitasi Kerjasama Luar Negeri non Perdagangan
37,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0004,Fasilitasi Pengiriman Delegasi Pendidikan ke Luar Negeri
38,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0005,Monitoring dan evaluasi kerjasama daerah
39,0304,Bagian Administrasi Kerjasama,2.1.2.03.07.0007,Pelaksanaan Rekomendasi Roadmap Kerjasama Daerah
40,0304,Bagian Administrasi Kerjasama,2.1.2.03.08.0001,Fasilitasi Kerjasama Dalam Negeri Perdagangan
41,0304,Bagian Administrasi Kerjasama,2.2.2.02.01.0012,Penyediaan Barang dan Jasa Perkantoran Perangkat Daerah
42,0304,Bagian Administrasi Kerjasama,2.2.2.02.02.0012,Pemeliharaan dan Pengadaan Sarana Perkantoran
43,0305,Bagian Administrasi Pembangunan,2.1.2.01.01.0005,Monitoring Dan Pengendalian Kegiatan Pembangunan
